,Exportation
2014-12-28,55
2015-01-04,58
2015-01-11,62
2015-01-18,75
2015-01-25,77
2015-02-01,68
2015-02-08,87
2015-02-15,68
2015-02-22,65
2015-03-01,80
2015-03-08,82
2015-03-15,87
2015-03-22,81
2015-03-29,76
2015-04-05,58
2015-04-12,51
2015-04-19,72
2015-04-26,68
2015-05-03,75
2015-05-10,63
2015-05-17,68
2015-05-24,78
2015-05-31,76
2015-06-07,77
2015-06-14,74
2015-06-21,93
2015-06-28,64
2015-07-05,72
2015-07-12,73
2015-07-19,75
2015-07-26,71
2015-08-02,75
2015-08-09,67
2015-08-16,63
2015-08-23,89
2015-08-30,87
2015-09-06,81
2015-09-13,79
2015-09-20,76
2015-09-27,66
2015-10-04,73
2015-10-11,85
2015-10-18,79
2015-10-25,71
2015-11-01,72
2015-11-08,63
2015-11-15,88
2015-11-22,76
2015-11-29,67
2015-12-06,67
2015-12-13,78
2015-12-20,51
2015-12-27,57
2016-01-03,72
2016-01-10,75
2016-01-17,75
2016-01-24,79
2016-01-31,56
2016-02-07,86
2016-02-14,83
2016-02-21,73
2016-02-28,72
2016-03-06,68
2016-03-13,68
2016-03-20,55
2016-03-27,58
2016-04-03,55
2016-04-10,48
2016-04-17,66
2016-04-24,84
2016-05-01,69
2016-05-08,87
2016-05-15,71
2016-05-22,63
2016-05-29,80
2016-06-05,73
2016-06-12,71
2016-06-19,76
2016-06-26,91
2016-07-03,76
2016-07-10,78
2016-07-17,62
2016-07-24,68
2016-07-31,69
2016-08-07,60
2016-08-14,59
2016-08-21,65
2016-08-28,64
2016-09-04,64
2016-09-11,58
2016-09-18,64
2016-09-25,63
2016-10-02,64
2016-10-09,60
2016-10-16,72
2016-10-23,65
2016-10-30,59
2016-11-06,72
2016-11-13,68
2016-11-20,69
2016-11-27,68
2016-12-04,67
2016-12-11,68
2016-12-18,70
2016-12-25,60
2017-01-01,76
2017-01-08,66
2017-01-15,80
2017-01-22,69
2017-01-29,71
2017-02-05,76
2017-02-12,76
2017-02-19,90
2017-02-26,100
2017-03-05,94
2017-03-12,78
2017-03-19,89
2017-03-26,84
2017-04-02,66
2017-04-09,45
2017-04-16,75
2017-04-23,85
2017-04-30,88
2017-05-07,60
2017-05-14,84
2017-05-21,80
2017-05-28,82
2017-06-04,75
2017-06-11,76
2017-06-18,70
2017-06-25,83
2017-07-02,58
2017-07-09,80
2017-07-16,79
2017-07-23,59
2017-07-30,65
2017-08-06,59
2017-08-13,72
2017-08-20,80
2017-08-27,68
2017-09-03,66
2017-09-10,87
2017-09-17,91
2017-09-24,69
2017-10-01,75
2017-10-08,74
2017-10-15,65
2017-10-22,76
2017-10-29,61
2017-11-05,65
2017-11-12,64
2017-11-19,78
2017-11-26,72
2017-12-03,70
2017-12-10,81
2017-12-17,70
2017-12-24,52
2017-12-31,70
2018-01-07,77
2018-01-14,72
2018-01-21,73
2018-01-28,68
2018-02-04,62
2018-02-11,76
2018-02-18,78
2018-02-25,60
2018-03-04,71
2018-03-11,65
2018-03-18,78
2018-03-25,58
2018-04-01,68
2018-04-08,56
2018-04-15,59
2018-04-22,62
2018-04-29,83
2018-05-06,73
2018-05-13,83
2018-05-20,79
2018-05-27,78
2018-06-03,70
2018-06-10,78
2018-06-17,77
2018-06-24,65
2018-07-01,81
2018-07-08,79
2018-07-15,91
2018-07-22,90
2018-07-29,85
2018-08-05,83
2018-08-12,83
2018-08-19,83
2018-08-26,78
2018-09-02,72
2018-09-09,83
2018-09-16,83
2018-09-23,82
2018-09-30,89
2018-10-07,91
2018-10-14,72
2018-10-21,75
2018-10-28,66
2018-11-04,67
2018-11-11,60
2018-11-18,53
2018-11-25,80
2018-12-02,74
2018-12-09,82
2018-12-16,61
2018-12-23,51
2018-12-30,60
2019-01-06,76
2019-01-13,66
2019-01-20,72
2019-01-27,90
2019-02-03,69
2019-02-10,72
2019-02-17,77
2019-02-24,73
2019-03-03,73
2019-03-10,87
2019-03-17,63
2019-03-24,71
2019-03-31,64
2019-04-07,57
2019-04-14,49
2019-04-21,50
2019-04-28,52
2019-05-05,70
2019-05-12,58
2019-05-19,75
2019-05-26,87
2019-06-02,68
2019-06-09,81
2019-06-16,68
2019-06-23,69
2019-06-30,69
2019-07-07,77
2019-07-14,68
2019-07-21,75
2019-07-28,78
2019-08-04,73
2019-08-11,66
2019-08-18,89
2019-08-25,84
2019-09-01,72
2019-09-08,77
2019-09-15,74
2019-09-22,74
2019-09-29,81
2019-10-06,71
2019-10-13,75
2019-10-20,75
2019-10-27,76
2019-11-03,71
2019-11-10,59
2019-11-17,75
2019-11-24,84
2019-12-01,85
2019-12-08,65
2019-12-15,74
2019-12-22,59
2019-12-29,66
2020-01-05,67
