,Games
2014-12-28,97
2015-01-04,80
2015-01-11,78
2015-01-18,71
2015-01-25,67
2015-02-01,77
2015-02-08,70
2015-02-15,75
2015-02-22,71
2015-03-01,72
2015-03-08,70
2015-03-15,72
2015-03-22,72
2015-03-29,76
2015-04-05,81
2015-04-12,78
2015-04-19,79
2015-04-26,76
2015-05-03,72
2015-05-10,77
2015-05-17,76
2015-05-24,73
2015-05-31,76
2015-06-07,76
2015-06-14,77
2015-06-21,75
2015-06-28,77
2015-07-05,74
2015-07-12,78
2015-07-19,78
2015-07-26,78
2015-08-02,87
2015-08-09,88
2015-08-16,88
2015-08-23,82
2015-08-30,87
2015-09-06,85
2015-09-13,77
2015-09-20,79
2015-09-27,77
2015-10-04,77
2015-10-11,75
2015-10-18,72
2015-10-25,75
2015-11-01,76
2015-11-08,79
2015-11-15,73
2015-11-22,83
2015-11-29,82
2015-12-06,84
2015-12-13,90
2015-12-20,89
2015-12-27,100
2016-01-03,83
2016-01-10,80
2016-01-17,76
2016-01-24,74
2016-01-31,78
2016-02-07,80
2016-02-14,77
2016-02-21,80
2016-02-28,75
2016-03-06,76
2016-03-13,72
2016-03-20,77
2016-03-27,76
2016-04-03,79
2016-04-10,76
2016-04-17,83
2016-04-24,77
2016-05-01,83
2016-05-08,74
2016-05-15,73
2016-05-22,75
2016-05-29,76
2016-06-05,76
2016-06-12,79
2016-06-19,74
2016-06-26,81
2016-07-03,83
2016-07-10,79
2016-07-17,89
2016-07-24,83
2016-07-31,91
2016-08-07,92
2016-08-14,89
2016-08-21,94
2016-08-28,86
2016-09-04,82
2016-09-11,84
2016-09-18,79
2016-09-25,78
2016-10-02,80
2016-10-09,79
2016-10-16,75
2016-10-23,76
2016-10-30,85
2016-11-06,75
2016-11-13,73
2016-11-20,78
2016-11-27,81
2016-12-04,83
2016-12-11,85
2016-12-18,92
2016-12-25,93
2017-01-01,77
2017-01-08,69
2017-01-15,65
2017-01-22,67
2017-01-29,66
2017-02-05,70
2017-02-12,69
2017-02-19,71
2017-02-26,75
2017-03-05,82
2017-03-12,76
2017-03-19,72
2017-03-26,71
2017-04-02,78
2017-04-09,73
2017-04-16,78
2017-04-23,71
2017-04-30,71
2017-05-07,67
2017-05-14,69
2017-05-21,68
2017-05-28,72
2017-06-04,67
2017-06-11,70
2017-06-18,69
2017-06-25,67
2017-07-02,74
2017-07-09,68
2017-07-16,69
2017-07-23,64
2017-07-30,73
2017-08-06,73
2017-08-13,76
2017-08-20,74
2017-08-27,73
2017-09-03,74
2017-09-10,69
2017-09-17,71
2017-09-24,77
2017-10-01,71
2017-10-08,71
2017-10-15,70
2017-10-22,68
2017-10-29,73
2017-11-05,69
2017-11-12,66
2017-11-19,64
2017-11-26,67
2017-12-03,70
2017-12-10,71
2017-12-17,76
2017-12-24,77
2017-12-31,70
2018-01-07,70
2018-01-14,62
2018-01-21,66
2018-01-28,68
2018-02-04,66
2018-02-11,66
2018-02-18,65
2018-02-25,64
2018-03-04,59
2018-03-11,64
2018-03-18,62
2018-03-25,69
2018-04-01,66
2018-04-08,63
2018-04-15,61
2018-04-22,60
2018-04-29,60
2018-05-06,62
2018-05-13,62
2018-05-20,61
2018-05-27,61
2018-06-03,63
2018-06-10,68
2018-06-17,72
2018-06-24,71
2018-07-01,77
2018-07-08,75
2018-07-15,70
2018-07-22,65
2018-07-29,64
2018-08-05,70
2018-08-12,71
2018-08-19,71
2018-08-26,68
2018-09-02,65
2018-09-09,64
2018-09-16,62
2018-09-23,65
2018-09-30,65
2018-10-07,71
2018-10-14,71
2018-10-21,65
2018-10-28,69
2018-11-04,61
2018-11-11,64
2018-11-18,62
2018-11-25,61
2018-12-02,67
2018-12-09,72
2018-12-16,74
2018-12-23,74
2018-12-30,70
2019-01-06,65
2019-01-13,66
2019-01-20,63
2019-01-27,60
2019-02-03,65
2019-02-10,63
2019-02-17,67
2019-02-24,69
2019-03-03,66
2019-03-10,67
2019-03-17,61
2019-03-24,64
2019-03-31,65
2019-04-07,66
2019-04-14,59
2019-04-21,71
2019-04-28,66
2019-05-05,67
2019-05-12,62
2019-05-19,63
2019-05-26,73
2019-06-02,72
2019-06-09,70
2019-06-16,69
2019-06-23,72
2019-06-30,78
2019-07-07,69
2019-07-14,68
2019-07-21,70
2019-07-28,72
2019-08-04,73
2019-08-11,72
2019-08-18,73
2019-08-25,71
2019-09-01,67
2019-09-08,67
2019-09-15,63
2019-09-22,67
2019-09-29,67
2019-10-06,67
2019-10-13,66
2019-10-20,64
2019-10-27,62
2019-11-03,63
2019-11-10,60
2019-11-17,57
2019-11-24,62
2019-12-01,67
2019-12-08,67
2019-12-15,71
2019-12-22,77
2019-12-29,73
2020-01-05,64
