,Commercial Lending
2018-12-30,76
2019-01-06,76
2019-01-13,71
2019-01-20,71
2019-01-27,74
2019-02-03,70
2019-02-10,68
2019-02-17,74
2019-02-24,69
2019-03-03,73
2019-03-10,85
2019-03-17,82
2019-03-24,68
2019-03-31,69
2019-04-07,65
2019-04-14,57
2019-04-21,58
2019-04-28,57
2019-05-05,61
2019-05-12,66
2019-05-19,62
2019-05-26,68
2019-06-02,62
2019-06-09,61
2019-06-16,62
2019-06-23,65
2019-06-30,58
2019-07-07,56
2019-07-14,63
2019-07-21,61
2019-07-28,62
2019-08-04,58
2019-08-11,52
2019-08-18,67
2019-08-25,67
2019-09-01,58
2019-09-08,64
2019-09-15,68
2019-09-22,66
2019-09-29,60
2019-10-06,53
2019-10-13,63
2019-10-20,65
2019-10-27,53
2019-11-03,64
2019-11-10,67
2019-11-17,67
2019-11-24,60
2019-12-01,65
2019-12-08,63
2019-12-15,63
2019-12-22,59
2019-12-29,66
2020-01-05,65
2020-01-12,58
2020-01-19,61
2020-01-26,61
2020-02-02,56
2020-02-09,66
2020-02-16,61
2020-02-23,64
2020-03-01,59
2020-03-08,53
2020-03-15,47
2020-03-22,33
2020-03-29,35
2020-04-05,38
2020-04-12,41
2020-04-19,37
2020-04-26,42
2020-05-03,42
2020-05-10,47
2020-05-17,48
2020-05-24,47
2020-05-31,48
2020-06-07,48
2020-06-14,49
2020-06-21,56
2020-06-28,52
2020-07-05,55
2020-07-12,52
2020-07-19,56
2020-07-26,57
2020-08-02,58
2020-08-09,60
2020-08-16,57
2020-08-23,58
2020-08-30,56
2020-09-06,59
2020-09-13,61
2020-09-20,61
2020-09-27,59
2020-10-04,60
2020-10-11,56
2020-10-18,59
2020-10-25,53
2020-11-01,53
2020-11-08,47
2020-11-15,48
2020-11-22,57
2020-11-29,58
2020-12-06,59
2020-12-13,61
2020-12-20,60
2020-12-27,56
2021-01-03,60
2021-01-10,54
2021-01-17,57
2021-01-24,56
2021-01-31,60
2021-02-07,57
2021-02-14,57
2021-02-21,55
2021-02-28,55
2021-03-07,55
2021-03-14,56
2021-03-21,53
2021-03-28,51
2021-04-04,54
2021-04-11,51
2021-04-18,47
2021-04-25,44
2021-05-02,44
2021-05-09,49
2021-05-16,48
2021-05-23,47
2021-05-30,52
2021-06-06,52
2021-06-13,54
2021-06-20,54
2021-06-27,60
2021-07-04,55
2021-07-11,60
2021-07-18,59
2021-07-25,60
2021-08-01,57
2021-08-08,61
2021-08-15,66
2021-08-22,56
2021-08-29,53
2021-09-05,50
2021-09-12,56
2021-09-19,57
2021-09-26,57
2021-10-03,57
2021-10-10,41
2021-10-17,49
2021-10-24,53
2021-10-31,40
2021-11-07,53
2021-11-14,57
2021-11-21,60
2021-11-28,56
2021-12-05,58
2021-12-12,56
2021-12-19,58
2021-12-26,58
2022-01-02,62
2022-01-09,59
2022-01-16,58
2022-01-23,59
2022-01-30,63
2022-02-06,61
2022-02-13,66
2022-02-20,70
2022-02-27,65
2022-03-06,64
2022-03-13,59
2022-03-20,66
2022-03-27,78
2022-04-03,68
2022-04-10,65
2022-04-17,65
2022-04-24,69
2022-05-01,60
2022-05-08,63
2022-05-15,58
2022-05-22,59
2022-05-29,62
2022-06-05,63
2022-06-12,61
2022-06-19,64
2022-06-26,65
2022-07-03,60
2022-07-10,60
2022-07-17,64
2022-07-24,62
2022-07-31,62
2022-08-07,54
2022-08-14,54
2022-08-21,64
2022-08-28,56
2022-09-04,56
2022-09-11,63
2022-09-18,69
2022-09-25,64
2022-10-02,64
2022-10-09,70
2022-10-16,61
2022-10-23,47
2022-10-30,59
2022-11-06,61
2022-11-13,63
2022-11-20,58
2022-11-27,60
2022-12-04,59
2022-12-11,62
2022-12-18,65
2022-12-25,62
2023-01-01,60
2023-01-08,57
2023-01-15,66
2023-01-22,58
2023-01-29,63
2023-02-05,66
2023-02-12,66
2023-02-19,67
2023-02-26,72
2023-03-05,66
2023-03-12,100
2023-03-19,80
2023-03-26,65
2023-04-02,65
2023-04-09,64
2023-04-16,63
2023-04-23,66
2023-04-30,55
2023-05-07,57
2023-05-14,62
2023-05-21,62
2023-05-28,61
2023-06-04,59
2023-06-11,66
2023-06-18,63
2023-06-25,62
2023-07-02,65
2023-07-09,62
2023-07-16,62
2023-07-23,64
2023-07-30,66
2023-08-06,64
2023-08-13,57
2023-08-20,61
2023-08-27,57
2023-09-03,53
2023-09-10,61
2023-09-17,59
2023-09-24,66
2023-10-01,65
2023-10-08,63
2023-10-15,57
2023-10-22,51
2023-10-29,56
2023-11-05,52
2023-11-12,47
2023-11-19,57
2023-11-26,66
2023-12-03,64
2023-12-10,64
2023-12-17,62
2023-12-24,57
2023-12-31,58
2024-01-07,59
