,World News
2018-12-30,25
2019-01-06,26
2019-01-13,31
2019-01-20,33
2019-01-27,34
2019-02-03,40
2019-02-10,46
2019-02-17,50
2019-02-24,100
2019-03-03,48
2019-03-10,41
2019-03-17,60
2019-03-24,50
2019-03-31,53
2019-04-07,39
2019-04-14,30
2019-04-21,49
2019-04-28,21
2019-05-05,20
2019-05-12,32
2019-05-19,22
2019-05-26,20
2019-06-02,20
2019-06-09,31
2019-06-16,31
2019-06-23,23
2019-06-30,30
2019-07-07,37
2019-07-14,23
2019-07-21,24
2019-07-28,31
2019-08-04,32
2019-08-11,40
2019-08-18,32
2019-08-25,29
2019-09-01,33
2019-09-08,34
2019-09-15,33
2019-09-22,29
2019-09-29,42
2019-10-06,38
2019-10-13,37
2019-10-20,32
2019-10-27,37
2019-11-03,36
2019-11-10,29
2019-11-17,31
2019-11-24,39
2019-12-01,23
2019-12-08,28
2019-12-15,33
2019-12-22,39
2019-12-29,33
2020-01-05,42
2020-01-12,28
2020-01-19,29
2020-01-26,44
2020-02-02,36
2020-02-09,46
2020-02-16,34
2020-02-23,27
2020-03-01,41
2020-03-08,45
2020-03-15,45
2020-03-22,44
2020-03-29,27
2020-04-05,32
2020-04-12,33
2020-04-19,17
2020-04-26,28
2020-05-03,21
2020-05-10,17
2020-05-17,33
2020-05-24,28
2020-05-31,24
2020-06-07,11
2020-06-14,21
2020-06-21,22
2020-06-28,21
2020-07-05,22
2020-07-12,27
2020-07-19,27
2020-07-26,21
2020-08-02,27
2020-08-09,26
2020-08-16,21
2020-08-23,15
2020-08-30,25
2020-09-06,26
2020-09-13,14
2020-09-20,17
2020-09-27,47
2020-10-04,26
2020-10-11,22
2020-10-18,22
2020-10-25,28
2020-11-01,58
2020-11-08,26
2020-11-15,23
2020-11-22,18
2020-11-29,21
2020-12-06,18
2020-12-13,19
2020-12-20,29
2020-12-27,23
2021-01-03,18
2021-01-10,20
2021-01-17,40
2021-01-24,24
2021-01-31,27
2021-02-07,27
2021-02-14,26
2021-02-21,27
2021-02-28,31
2021-03-07,31
2021-03-14,25
2021-03-21,31
2021-03-28,30
2021-04-04,24
2021-04-11,30
2021-04-18,26
2021-04-25,26
2021-05-02,51
2021-05-09,40
2021-05-16,40
2021-05-23,29
2021-05-30,23
2021-06-06,29
2021-06-13,25
2021-06-20,24
2021-06-27,15
2021-07-04,21
2021-07-11,29
2021-07-18,17
2021-07-25,21
2021-08-01,25
2021-08-08,22
2021-08-15,24
2021-08-22,27
2021-08-29,26
2021-09-05,26
2021-09-12,40
2021-09-19,29
2021-09-26,29
2021-10-03,36
2021-10-10,30
2021-10-17,26
2021-10-24,39
2021-10-31,33
2021-11-07,25
2021-11-14,36
2021-11-21,31
2021-11-28,49
2021-12-05,36
2021-12-12,31
2021-12-19,42
2021-12-26,33
2022-01-02,37
2022-01-09,19
2022-01-16,35
2022-01-23,26
2022-01-30,40
2022-02-06,37
2022-02-13,38
2022-02-20,77
2022-02-27,81
2022-03-06,49
2022-03-13,38
2022-03-20,39
2022-03-27,33
2022-04-03,36
2022-04-10,30
2022-04-17,31
2022-04-24,33
2022-05-01,17
2022-05-08,32
2022-05-15,31
2022-05-22,25
2022-05-29,32
2022-06-05,28
2022-06-12,35
2022-06-19,29
2022-06-26,20
2022-07-03,26
2022-07-10,28
2022-07-17,27
2022-07-24,28
2022-07-31,31
2022-08-07,27
2022-08-14,34
2022-08-21,31
2022-08-28,25
2022-09-04,43
2022-09-11,42
2022-09-18,51
2022-09-25,34
2022-10-02,32
2022-10-09,23
2022-10-16,32
2022-10-23,39
2022-10-30,27
2022-11-06,34
2022-11-13,37
2022-11-20,26
2022-11-27,28
2022-12-04,25
2022-12-11,31
2022-12-18,22
2022-12-25,35
2023-01-01,33
2023-01-08,34
2023-01-15,30
2023-01-22,36
2023-01-29,31
2023-02-05,35
2023-02-12,41
2023-02-19,33
2023-02-26,22
2023-03-05,29
2023-03-12,34
2023-03-19,24
2023-03-26,32
2023-04-02,29
2023-04-09,28
2023-04-16,21
2023-04-23,24
2023-04-30,35
2023-05-07,28
2023-05-14,23
2023-05-21,28
2023-05-28,27
2023-06-04,28
2023-06-11,35
2023-06-18,33
2023-06-25,25
2023-07-02,22
2023-07-09,30
2023-07-16,19
2023-07-23,21
2023-07-30,36
2023-08-06,54
2023-08-13,28
2023-08-20,54
2023-08-27,40
2023-09-03,89
2023-09-10,68
2023-09-17,37
2023-09-24,43
2023-10-01,58
2023-10-08,45
2023-10-15,48
2023-10-22,44
2023-10-29,53
2023-11-05,45
2023-11-12,73
2023-11-19,65
2023-11-26,47
2023-12-03,55
2023-12-10,44
2023-12-17,27
2023-12-24,32
2023-12-31,36
2024-01-07,42
